Incident ID,Incident Date,State,City Or County,Address,Complete_Address,School name,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2603598,2023-05-20T00:00:00Z,Louisiana,New Orleans,6000  Beechcraft St,"6000  Beechcraft St,New Orleans,Louisiana",,"30.0142637,-90.0198064",2,2,0,0,0
2603689,2023-05-20T00:00:00Z,Kentucky,Louisville,600  N 34th St,"600  N 34th St,Louisville,Kentucky",,"38.272343,-85.802837",0,4,0,0,0
2603870,2023-05-20T00:00:00Z,Georgia,Thomson,511 Knox St,"511 Knox St,Thomson,Georgia",,"33.474086695652176,-82.49550713043479",0,4,0,0,1
2601416,2023-05-18T00:00:00Z,Texas,San Antonio,5138 UTSA Blvd,"5138 UTSA Blvd,San Antonio,Texas",,"29.579054749999997,-98.58674067718911",1,3,0,0,2
2600376,2023-05-16T00:00:00Z,Texas,San Antonio,800  Poinsettia St,"800  Poinsettia St,San Antonio,Texas",,"29.428013,-98.45105524242425",0,4,0,0,0
2598731,2023-05-15T00:00:00Z,New Mexico,Farmington,700  N Dustin Ave,"700  N Dustin Ave,Farmington,New Mexico",,"36.736391,-108.202342",3,6,1,0,0
2598168,2023-05-14T00:00:00Z,Alabama,Montgomery,5500  Atlanta Highway,"5500  Atlanta Highway,Montgomery,Alabama",,"32.381865,-86.20828",1,3,0,0,0
2597941,2023-05-14T00:00:00Z,Indiana,Anderson,1600  Madison Ave,"1600  Madison Ave,Anderson,Indiana",,"40.079843,-85.691964",0,6,0,0,0
2597075,2023-05-13T00:00:00Z,Louisiana,Shreveport,3600  Hollywood Ave,"3600  Hollywood Ave,Shreveport,Louisiana",,"32.45658251515152,-93.79463512121212",0,4,0,0,0
2597569,2023-05-13T00:00:00Z,Georgia,Augusta,120 Sand Bar Ferry Rd,"120 Sand Bar Ferry Rd,Augusta,Georgia",,"33.46652335672788,-81.94546997021678",2,4,0,0,0
2597757,2023-05-13T00:00:00Z,Kentucky,Louisville,627 S 4th St,"627 S 4th St,Louisville,Kentucky",,"38.2478812,-85.7579004",1,4,0,0,0
2597561,2023-05-13T00:00:00Z,New Hampshire,Manchester,129 Ahern St,"129 Ahern St,Manchester,New Hampshire",,"42.971229897069094,-71.46614792108056",0,4,0,0,3
2597218,2023-05-12T00:00:00Z,Maryland,Laurel,300  Domer Ave,"300  Domer Ave,Laurel,Maryland",,"39.09471,-76.853921",0,4,0,0,0
2595672,2023-05-11T00:00:00Z,Indiana,Indianapolis,4020 S East St,"4020 S East St,Indianapolis,Indiana",,"39.7069968,-86.1495741",1,3,0,0,0
2595658,2023-05-11T00:00:00Z,Pennsylvania,Philadelphia,5900  North 21st St,"5900  North 21st St,Philadelphia,Pennsylvania",,"40.043847,-75.155966",1,3,0,0,0
2595583,2023-05-11T00:00:00Z,Illinois,Chicago,600  W 61st Pl,"600  W 61st Pl,Chicago,Illinois",,"41.782649,-87.640231",2,3,0,0,0
2594759,2023-05-10T00:00:00Z,Colorado,Denver,9600 E Girard Ave,"9600 E Girard Ave,Denver,Colorado",,"39.653679249999996,-104.87731332532327",1,4,0,1,2
2590876,2023-05-07T00:00:00Z,New Jersey,Newark,300  Orange St,"300  Orange St,Newark,New Jersey",,"40.749145285714285,-74.18159242857143",1,3,0,0,0
2590669,2023-05-07T00:00:00Z,California,Adelanto,10900  Bartlett Ave,"10900  Bartlett Ave,Adelanto,California",,"34.579375,-117.42703",2,5,0,0,0
2590631,2023-05-07T00:00:00Z,Missouri,Columbia,904 Business Loop 70 E,"904 Business Loop 70 E,Columbia,Missouri",,"38.96396,-92.326389",1,3,0,1,3
2590617,2023-05-07T00:00:00Z,Missouri,Saint Louis,2100  Branch St,"2100  Branch St,Saint Louis,Missouri",,"38.657061,-90.20275",2,2,0,0,1
2591270,2023-05-07T00:00:00Z,California,Redwood City,400  Redwood Ave,"400  Redwood Ave,Redwood City,California",,"37.473849546657256,-122.22613772716946",0,5,0,0,0
2591449,2023-05-07T00:00:00Z,Wisconsin,Fond Du Lac,912 Martin Ave,"912 Martin Ave,Fond Du Lac,Wisconsin",,"43.753797684210525,-88.431865",1,3,0,0,2
2590940,2023-05-07T00:00:00Z,Maryland,Frostburg,E College Ave,"E College Ave,Frostburg,Maryland",,"39.6522318,-78.9287233",1,3,0,0,5
2590046,2023-05-06T00:00:00Z,Texas,Allen,820 W Stacy Rd,"820 W Stacy Rd,Allen,Texas",,"33.1304702,-96.6606842",8,7,1,0,0
2589762,2023-05-06T00:00:00Z,Ohio,Columbus,624 N High St,"624 N High St,Columbus,Ohio",,"39.9751797,-83.0029502",0,9,0,1,1
2589882,2023-05-06T00:00:00Z,California,Chico,1000  Columbus Ave,"1000  Columbus Ave,Chico,California",,"39.7320431695252,-121.85843193276709",1,5,0,0,3
2589765,2023-05-06T00:00:00Z,Ohio,Columbus,1400  St Clair Ave,"1400  St Clair Ave,Columbus,Ohio",,"39.9941397,-82.9788181922543",1,3,1,0,0
2589699,2023-05-05T00:00:00Z,Mississippi,Ocean Springs,1013 Government St,"1013 Government St,Ocean Springs,Mississippi",,"30.41367748979592,-88.82754018367348",1,6,0,0,1
